date,voice_pre,voice_post,walk_pre,walk_post,stand_pre,stand_post,tap_pre,tap_post
2016-Feb-01,0,.388173377197,0,.293675667194112,.2491074105906754,.299005104833774,.308687556271374,.378064114979096
2016-Feb-02,.302179005570,.36797692622617,.28612371253529,.302515874531047,.526651556776557,.5829254504912,.544933241763681,.66980
2016-Feb-03,.3094101788335452,.3384728293501,.1050097565314,.309861256354737,.1553161268569588,.132193705189402,.103188763810213,.10108
2016-Feb-04,.02479664837586,.24815998417223,.32876782138117,.331593345057413,.1599492063017548,.299005104833774,.408687556271374,.3780
2016-Feb-05,.21035549103330,.46303628512994,-1,-1,.2648438905253186,.262538549756437,.37208910992744,.3529
2016-Feb-06,.15630253096265,.26839047586185,.6052901964,.568431635066149,.1657250133214989,.18630217900557,.196797692622617,.18612
2016-Feb-07,.46202054323876,.45672580265725,.51960824220332,.574603700001789,.069350632951782,.15900828501506,.16116780110804,.14029
2016-Feb-08,.62538549756437,.8208910992744,.52970599218442,.46288959931525,-1,-1,.538781346660737,.477022113047863
2016-Feb-09, -1,-1,-1,-1,-1,-1,-1,-1
2016-Feb-10, -1,-1,-1,-1,0,0,.133188763810213,.101089873682505
2016-Feb-11,.0099005104833774,.08687556271374,.378064114979096,.399509771271013,.1785199627972015,.18630217900557,.196797692622617,.186123
2016-Feb-12,.23898328335028,.42957903538868,.6252117393808,.6406255726826317,.1825440363473754,.262538549756437,.3208910992744,.352970
2016-Feb-13,.39784531103055,.56693590248909,.614223803113506,.6414110020078677,.856750430495961,.900828501506,-1,-1
2016-Feb-14,.6190599245056,.82403886072201,-1,-1,.877670812570479,.9005104833774,.2408687556271374,.378064114979096
2016-Feb-15, -1,-1,-1,-1,-1,-1,-1,-1
2016-Feb-16,.48248817114275,.57858120953,.639494234406171,.6416191674823312,.889612725166684,.99005104833774,.408687556271374,.37806
2016-Feb-17,.88750584055149,.93410481821662,.538287429191797,.5407750594780159,.902619701717344,.962538549756437,.37208910992744,.35297
2016-Feb-18,.094702544578883,.1417444449605,.533292374467956,.5399001840833243,-1,-1,.1188763810213,.101089
2016-Feb-19,.15009342173376,.19038355357423,.356939141258457,.403629601411059,.884957058149731,.931091386821727,.38781346660737,.47702
2016-Feb-20,.31091386821727,.38781346660737,.377022113047863,.40774769419301,.933354746976551,.95900828501506,.1116780110804,.140297
2016-Feb-21,.52114113980868,.56881475445417,.389546307020779,.424991674072734,1.5,.98630217900557,.16797692622617,.1861237
2016-Feb-22, -1,-1,-1,-1,-1,-1,-1,-1
2016-Feb-23,.96383605314389,.9770919919013,.316097601086728,.449913740535983,.178893805873904,.262538549756437,.3208910992744,.352970
2016-Feb-24,.74303285765552,.86314215356514,-1,-1,.401738520917196,.431091386821727,.38781346660737,.477022113047863
2016-Feb-25,.89607042356752,.91226636067019,.473186029640761,.471782228783546,.103726777783044,.132193705189402,.133188763810213,.1010898
2016-Feb-26,.72799054540446,.73392107653182,-1, -1,.105306404608282,.18630217900557,.176797692622617,.1861237
2016-Feb-27,.6334645757229,.69368334768533,.4623627577330525,.487462827764038,.109408605542074,.299005104833774,.3408687556271374,.378064
2016-Feb-28,.5845205314398,.59577765308725,.4626554953186446,.486499786637654,.108058169480821,.132193705189402,.13188763810213,.101089
2016-Feb-29,.476947171706743,.49899911443377,.462952732251244,.493189201804955,-1,-1,.103188763810213,.10108
